"Country or Area","Year","Value"
"Iceland","2002","698.202165162154"
"Iceland","2001","691.750766277182"
"Iceland","2000","680.252733926289"
"Iceland","1999","680.635891622604"
"Iceland","1998","672.763108029655"
"Iceland","1997","671.966988142276"
"Iceland","1996","667.034300360819"
"Iceland","1995","646.132907540743"
"Iceland","1994","644.434428390573"
"Iceland","1993","635.263872740307"
"Iceland","1992","618.598328853193"
"Iceland","1991","607.951900155557"
"Iceland","1990","610.588952693243"
"Ireland","2018","13984.9831872927"
"Ireland","2017","13991.9097948613"
"Ireland","2016","13678.8442030092"
"Ireland","2015","13290.1436754845"
"Ireland","2014","12966.8454442163"
"Ireland","2013","12672.8657446611"
"Ireland","2012","12336.8891434138"
"Ireland","2011","12037.5602769183"
"Ireland","2010","12070.1226769053"
"Ireland","2009","12322.5856284997"
"Ireland","2008","12676.4022741561"
"Ireland","2007","12879.5789645658"
"Ireland","2006","13544.4264779145"
"Ireland","2005","13581.8678952962"
"Ireland","2004","13904.7057241201"
"Ireland","2003","14865.7615261341"
"Ireland","2002","14264.9410714383"
"Ireland","2001","14363.8282904453"
"Ireland","2000","14338.1854071541"
"Ireland","1999","14933.1933187171"
"Ireland","1998","15436.3304017578"
"Ireland","1997","15208.4009943255"
"Ireland","1996","15239.2268958625"
"Ireland","1995","15000.4730123677"
"Ireland","1994","14987.9147236344"
"Ireland","1993","15069.056943795"
"Ireland","1992","15053.1080159998"
"Ireland","1991","14940.4458983551"
"Ireland","1990","14760.6896727375"
"Italy","2018","43032.6463191779"
"Italy","2017","43657.9706849385"
"Italy","2016","43399.2707536272"
"Italy","2015","43883.6013874571"
"Italy","2014","43904.6718003371"
"Italy","2013","44770.8358674689"
"Italy","2012","46168.1687418584"
"Italy","2011","45569.4493518415"
"Italy","2010","46980.0278294097"
"Italy","2009","47292.369055913"
"Italy","2008","47327.8382405073"
"Italy","2007","47763.4521176283"
"Italy","2006","47064.7797963107"
"Italy","2005","48328.3053815321"
"Italy","2004","47828.7152132403"
"Italy","2003","49446.2078450108"
"Italy","2002","49240.0519450528"
"Italy","2001","50868.6388765307"
"Italy","2000","50766.136775346"
"Italy","1999","50854.0212495185"
"Italy","1998","50880.4603203089"
"Italy","1997","51363.9222908689"
"Italy","1996","50816.8433124231"
"Italy","1995","50325.8432006212"
"Italy","1994","49708.6066044472"
"Italy","1993","49283.5248100651"
"Italy","1992","48977.0483006379"
"Italy","1991","49126.5475020885"
"Italy","1990","48247.4890237919"
"Japan","2018","29854.8974417554"
"Japan","2017","30237.1922238889"
"Japan","2016","30736.221569165"
"Japan","2015","31064.6937904606"
"Japan","2014","31886.8929535179"
"Japan","2013","32533.4244356276"
"Japan","2012","32903.9644145241"
"Japan","2011","33776.1685404862"
"Japan","2010","34783.5991985312"
"Japan","2009","34276.540347346"
"Japan","2008","35239.6459790018"
"Japan","2007","35539.5248225601"
"Japan","2006","35263.723280812"
"Japan","2005","35845.4394118332"
"Japan","2004","36025.0501271544"
"Japan","2003","34991.467748097"
"Japan","2002","36436.1261320488"
"Japan","2001","37132.1094877028"
"Japan","2000","37981.9777066205"
"Japan","1999","37989.8698693021"
"Japan","1998","38107.7776287155"
"Japan","1997","39970.4547296643"
"Japan","1996","40721.6936020331"
"Japan","1995","41926.4195830185"
"Japan","1994","43411.5717194009"
"Japan","1993","40025.520886994"
"Japan","1992","44118.7050157099"
"Japan","1991","43259.7231132926"
"Japan","1990","44418.4872951504"
"Latvia","2018","1733.57370780201"
"Latvia","2017","1813.30772713443"
"Latvia","2016","1780.86820277373"
"Latvia","2015","1754.99712404704"
"Latvia","2014","1853.72535157704"
"Latvia","2013","1806.23880647636"
"Latvia","2012","1784.28556042108"
"Latvia","2011","1742.76611651745"
"Latvia","2010","1791.27025991316"
"Latvia","2009","1853.58367932654"
"Latvia","2008","1832.9230714081"
"Latvia","2007","1869.03336152094"
"Latvia","2006","1819.96663528654"
"Latvia","2005","1866.9007010854"
"Latvia","2004","1817.81355862398"
"Latvia","2003","1848.04048855959"
"Latvia","2002","1933.10582863492"
"Latvia","2001","1958.2247798314"
"Latvia","2000","1872.59587002725"
"Latvia","1999","1873.41952545359"
"Latvia","1998","2006.41020443192"
"Latvia","1997","2092.90976228592"
"Latvia","1996","2124.73356953351"
"Latvia","1995","2160.04263565642"
"Latvia","1994","2169.4229123666"
"Latvia","1993","2339.63691975103"
"Latvia","1992","3059.0779557188"
"Latvia","1991","3549.43385191086"
"Latvia","1990","3594.96792046215"
"Liechtenstein","2018","18.1722690068422"
"Liechtenstein","2017","17.9915619446845"
"Liechtenstein","2016","18.4904946971353"
"Liechtenstein","2015","18.3766195549085"
"Liechtenstein","2014","18.549486888717"
"Liechtenstein","2013","19.108473191209"
"Liechtenstein","2012","19.9161468920695"
"Liechtenstein","2011","19.4680156533538"
"Liechtenstein","2010","19.1104539736012"
"Liechtenstein","2009","19.6833536316208"
"Liechtenstein","2008","19.8530819925418"
"Liechtenstein","2007","19.6424228033608"
"Liechtenstein","2006","19.4001492757862"
"Liechtenstein","2005","18.6434866823952"
"Liechtenstein","2004","18.135770658346"
"Liechtenstein","2003","18.0456042301675"
"Liechtenstein","2002","17.8799223870112"
